Source	Target	Weight
132	131	854.681639683635
132	134	23.5315908113233
132	103	4984.3370079288
134	132	23.5315908113233
134	155	164.531752783355
134	160	227.470926609582
135	136	20.277094720475
136	135	20.277094720475
136	137	153.452607417063
136	140	33.9396983412955
136	162	168.725225481227
137	136	153.452607417063
140	136	33.9396983412955
140	141	76.2897668099243
140	144	30.8994471356731
140	163	168.742736594262
141	140	76.2897668099243
144	140	30.8994471356731
144	146	80.3769974236256
144	148	32.7689931059666
144	167	168.774685017007
146	144	80.3769974236256
148	144	32.7689931059666
148	150	79.0861258879692
148	175	168.769206716669
150	148	79.0861258879692
151	152	687.421813140748
151	158	38.6448608797088
152	151	687.421813140748
152	99	58.968055604466
155	134	164.531752783355
157	158	612.165194437791
157	346	32.8553374024313
158	157	612.165194437791
158	151	38.6448608797088
160	134	227.470926609582
160	413	136.770098285319
162	136	168.725225481227
162	163	33.613171522203
162	202	85.9565780060795
162	204	80.1062041511924
163	162	33.613171522203
163	140	168.742736594262
163	167	31.6916874380691
163	208	79.5730259210123
167	163	31.6916874380691
167	144	168.774685017007
167	175	31.6815343591006
167	216	79.0740599040706
172	126	301.2996879704
172	173	512.590967123714
172	386	932.594753523106
173	172	512.590967123714
175	167	31.6815343591006
175	148	168.769206716669
175	179	32.0112390231508
175	220	78.5735706293182
179	175	32.0112390231508
179	182	54.3492621015292
179	183	33.1604319879272
179	224	78.0646932383816
182	179	54.3492621015292
183	179	33.1604319879272
183	186	58.7178089699277
183	187	32.5959910538949
183	228	77.5463573687413
186	183	58.7178089699277
187	183	32.5959910538949
187	190	65.7183590559355
187	191	33.2745147068184
187	236	77.0268705687127
190	187	65.7183590559355
191	187	33.2745147068184
191	194	63.4826646831652
191	195	32.7608453147726
191	240	76.4887498672438
194	191	63.4826646831652
195	191	32.7608453147726
195	198	60.038656257644
195	199	22.2096922104206
195	244	75.963662430873
198	195	60.038656257644
199	195	22.2096922104206
202	162	85.9565780060795
202	204	20.2866828094098
202	258	77.1324009221776
204	202	20.2866828094098
204	162	80.1062041511924
204	208	33.4673806901135
204	260	74.2178893364406
208	204	33.4673806901135
208	163	79.5730259210123
208	216	32.0516784516956
208	264	74.4318624583851
211	212	142.154803866292
211	213	622.665196173399
211	320	142.653148609494
212	211	142.154803866292
212	233	17.9401800325897
213	211	622.665196173399
216	208	32.0516784516956
216	167	79.0740599040706
216	220	31.1597460342011
216	268	74.646825864162
220	216	31.1597460342011
220	175	78.5735706293182
220	224	32.7493652556541
220	272	74.8440202505933
224	220	32.7493652556541
224	179	78.0646932383816
224	228	33.374840911943
224	276	75.0618914616811
228	224	33.374840911943
228	183	77.5463573687413
228	236	32.6873317562502
228	282	75.2881293358889
231	232	272.141478837869
231	233	70.5709110316759
231	321	264.779377400722
232	231	272.141478837869
233	231	70.5709110316759
233	212	17.9401800325897
236	228	32.6873317562502
236	187	77.0268705687127
236	240	32.0008389249423
236	286	75.5148020741555
240	236	32.0008389249423
240	191	76.4887498672438
240	244	32.6568254194578
